,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
335,"2023-12-30","Dried Flower","Redecan","Redees Glueberry OG Pre-Roll",5.46,"g","https://ocs.ca/products/redees-glueberry-og-pre-roll-redecan-glueberry-og",24,0.5,21.84,"In stock online",628242248051,21,27,0,1,"Greenhouse",,"Cayuga","Cayuga",42.9497266,-79.8585358,"Glueberry OG","Hybrid","Very Strong","Redecan","9037136 Canada Inc d.b.a Redecan Pharm","Glueberry OG is an evenly-balanced hybrid strain characterized by bright green buds, orange pistils and frosty white trichomes. With high levels of myrcene, caryophyllene and farnesene in its terpene profile, Glueberry OG exudes a sweet, fruity and earthy aroma. Derived from crossing OG Kush x GG x Blueberry strains, this triple threat lineage has high THC levels. Now available in perfectly packed pre-rolls that are Redee to be enjoyed.",,"Caryophyllene, Myrcene","Pre-Roll","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
336,"2023-12-30","Dried Flower","Reef Organic","Queen SanG Pre-Roll",13.75,"g","https://ocs.ca/products/queen-sang-pre-roll-reef-organic-tangerine-dream",29.5,1,13.75,"In stock online",843866015111,26,33,0,2,"Indoor",,,,,,"Queen Sangria","Sativa Dominant","Very Strong","Reef Organic","AQUALITAS INC","Sharp orange and lemon scents backed with a soft creamy undertone, Queen SanG fills the room with a delightfully fresh bouquet that invigorates your senses.",,"Beta-Pinene, Caryophyllene, Farnasene, Limonene, Pinene","Pre-Roll","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
342,"2023-12-30","Dried Flower","Ritual Sticks","Black Mamba Pre-Roll",10.83,"g","https://ocs.ca/products/black-mamba-pre-roll-ritual-sticks-black-mamba",28.75,0.5,16.25,"In stock online",628176401553,25,32.5,0,1,"Indoor",,"Windsor","Windsor",42.3167397,-83.0373389,"Black Mamba","Indica Dominant","Very Strong","Ritual Sticks","Mernova Medicinal Inc.","Great looking, great tasting and complete satisfaction. Ritual Sticks are held to the highest of standards. Using only the same top-quality, whole flower you have learned to expect from us. Our pre-rolls are proudly filled with Ritual Green craft cannabis and wrapped in all natural, hand-rolled Futurola straight slims; the thinnest papers on the market. Black Mamba is a potent indica-dominant hybrid that is believed to be an exotic cross of Mint Chocolate Chip and The Cube. Black Mamba has dense, solid buds caked in trichomes that are purple and green. This particular phenotype has a strong and unique aroma, reminiscent of overripe mangoes and creamy, tangy yogurt that intensifies when given a light squeeze.",,"Beta-Pinene, Caryophyllene, Limonene, Myrcene, Nerolidol","Pre-Roll","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
347,"2023-12-30","Dried Flower","San Rafael '71","Moon Berry Pre-Roll",12.6,"g","https://ocs.ca/products/moon-berry-pre-roll-san-rafael-71",8,9.5,18.9,"In stock online",628582002474,5,11,7,12,"Indoor",,"Bradford","Bradford",44.1143279,-79.5647069,,"Hybrid","Mild","San Rafael '71","Aurora Cannabis Enterprises Inc.","Moon Berry Pre-Rolls come packed with San Rafael ‘71’s own original Moon Berry balanced strain. Bred from MedReleaf’s Vespera and Equiposa, Moon Berry delivers a balanced 1:1 amount of THC to CBD along with rich flavour notes of berries, cream and  lemon. Each pre-roll pack includes a humidity pack to ensure freshness and housed in a compact, smell-proof doob tube. Each pre-roll is expertly rolled and packed with only the finest milled whole flower, never shake.",,"Limonene, Myrcene, Pinene","Pre-Roll","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
349,"2023-12-30","Dried Flower","San Rafael '71","Pink Diesel '71 Pre-Roll",12.6,"g","https://ocs.ca/products/pink-diesel-71-pre-roll-san-rafael-71",24,0.5,18.9,"In stock online",628582002481,21,27,0,1,"Indoor",,"Markham","Markham",43.8563707,-79.3376825,,"Indica Dominant","Very Strong","San Rafael '71","Aurora Cannabis Enterprises Inc.","Pink Diesel ’71 Pre-Rolls are packed with San Rafael ‘71’s own original Pink Diesel ’71 – a premium high-THC indica crossbred from 2 of our best-selling strains: Pink Kush x Driftwood Diesel. Each pack of Pink Diesel ’71 includes pre-rolls with combined flavour notes of gas, lavender, and spice and with a humidity pack to ensure freshness and housed in a compact, smell-proof doob tube. Each pre-roll is expertly rolled and packed with only the finest milled whole flower, never shake.",,"Caryophyllene, Myrcene, Ocimene","Pre-Roll","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
350,"2023-12-30","Dried Flower","Sev7n","Milk & Cookiez Onòn:ta & Karé:t Pre-Roll",,,"https://ocs.ca/products/milk-cookiez-onon-ta-kare-t-pre-roll-sev7n",20,0.5,,,,17,23,0,1,"Indoor",,"Cornwall Island, ON","Cornwall Island",77.626125,-94.8375625,,"Hybrid","Very Strong","Sev7n","FINAL BELL INC","Brought to you by the first Licensed Producer on indigenous land, a limited run of our debut house bred & selected cultivar - Milk & Cookiez. Just in time for the holiday season, this strain has a creamy flavour profile with sweet hints of vanilla and sour dough.",,"Beta-Caryophyllene, Limonene","Pre-Roll","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
355,"2023-12-30","Dried Flower","SHRED","Tropic Thunder J's Pre-Roll",6.69,"g","https://ocs.ca/products/tropic-thunder-js-pre-roll-shred",21,0.5,46.83,"In stock online",671148601048,18,24,0,1,"Indoor",,"Moncton, NB","Moncton",46.097995,-64.80011,,"Hybrid","Very Strong","SHRED","Organigram","SHRED, never shake is a combination of pre-shredded whole-flower with citrus and tropical aromas rolled up into 14 tightly packed pre-rolls.",,,"Pre-Roll","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
356,"2023-12-30","Dried Flower","SHRED","Funk Master J's Pre-Roll",6.69,"g","https://ocs.ca/products/funk-master-js-pre-roll-shred",21.5,0.075,46.83,"In stock online",671148301115,18,25,0,0.15,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Hybrid","Very Strong","SHRED","Organigram","Discover the medley to Funky town. We've captured the essence of real dank nugs with skunky, gas and earthy aromas that bring the funk. A combination of sweet skunk, funky cheese and pungent diesel notes. Get down and get dank with Funk Master rolled-up into 14 tightly packed joints!",,"Terpenes May Vary","Pre-Roll","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
357,"2023-12-30","Dried Flower","SHRED","Gnarberry J's Pre-Rolls",6.69,"g","https://ocs.ca/products/gnarberry-js-pre-rolls-shred",23,0.075,46.83,"In stock online",671148301122,20,26,0,0.15,"Indoor",,"Moncton, NB","Moncton",46.097995,-64.80011,,"Hybrid","Very Strong","SHRED","Organigram","A combination of pre-Shred whole-flower with berry and fruity aromas at an affordable price point. Some people put berries in their smoothies, others roll em’ up into 14 tightly packed pre-rolls.",,,"Pre-Roll","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
359,"2023-12-30","Dried Flower","SHRED","Tangerine Machine",,,"https://ocs.ca/products/tangerine-machine-shred",21,0.5,,,,18,24,0,1,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,,"Hybrid","Very Strong","SHRED","ORGANIGRAM INC.","SHRED’s Tangerine Machine pre-roll features a new aromatic blend with sweet n’ tart tangerine and kush flavours. For fans of Tangie vibes with a classic SHRED blend twist.",,"Terpenes May Vary","Pre-Roll","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
364,"2023-12-30","Dried Flower","Smokes","Tropical Punch 1:1 Pre-Roll",,,"https://ocs.ca/products/tropical-punch-1-1-pre-roll-smokes-tropical-punch",13,9,,,,10,16,6,12,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"Tropical Punch","Sativa Dominant","Medium","Smokes","GMLL Pharma Inc.","All the ancestors are loaded with sweet terps and resin which are inherited by this sweet treat.  She can rival any THC plant in all categories. Purple Punch (Grand Daddy Purps x Larry OG) has met her match with a unique CBD line built with Harlequin (CBD Hashplant) and ACDC (Cannatonic). The product meets and exceeds all craft requirements. It is a true green and pure full spectrum sunlight product from seed to harvest while it has grown within clean greenhouse facility to ensure the highest quality. It has been fed artisan well water only. Our pre-rolls are rolled using slow burning high quality durable unbleached unrefined paper. The “filter” has a whole in the middle allowing for full enjoyment. The pre-rolls are rolled rather than stuffed. This is important because cones are stuffed which stacks the cannabis rather than weaves it. This makes it very easy for cones to fall apart. Slow burning is key to getting the most out of quality cannabis.",,"Alpha-Humulene, Beta-Caryophyllene, Limonene, Myrcene, Selinene","Pre-Roll","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
368,"2023-12-30","Dried Flower","Solei","Free Slims Pre-Roll",4.42,"g","https://ocs.ca/products/free-slims-pre-roll-solei-treasure-island",1,14.5,17.68,"In stock online",694144014315,0,2,13,16,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"Treasure Island","Sativa Dominant","Very Mild","Solei","APHRIA INC.","Freeing and familiar, enjoy Free Slims in a conveniently abundant pack. With CBD dominant flower, they’re flexible enough for any opportunity. Savour flavour with the long and tight roll that allows you to treat your senses with these casual sungrown pre-rolls and their musky and spicy aromas.",,,"Pre-Roll","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
375,"2023-12-30","Dried Flower","Spinach","Frosted Cream Puffs Pre-Roll",,,"https://ocs.ca/products/frosted-cream-puffs-pre-roll-spinach",28.1,0.5,,,,24.1,32.1,0,1,"Indoor",,"Stayner","Stayner",44.4194642,-80.0904451,,"Hybrid","Very Strong","Spinach","PEACE NATURALS PROJECT INC.","With a twinkle in our eye and a baker’s chef kiss, we’re ready to dive right into this decadent cultivar. With frosty buds, creamy flavours and aromas, Spinach® Frosted Cream Puffs will take you on a journey of cannabis deliciousness. With strain inspiration from the fan favourite Space Cake, we’ve hit on all its looks, tastes, smells and feels. Caked with stick-to-your-fingers trichomes is what makes this an incredibly delightful cultivar that is out-of-this-world.",,,"Pre-Roll","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
376,"2023-12-30","Dried Flower","Spinach","Tangerine Twist Pre-Roll",9.73,"g","https://ocs.ca/products/tangerine-twist-pre-roll-spinach-tangerine-twist",24.5,0.5,14.6,"In stock online",841432012564,20.5,28.5,0,1,"Indoor",,"Stayner","Stayner",44.4194642,-80.0904451,"Tangerine Twist","Sativa Dominant","Very Strong","Spinach","PEACE NATURALS PROJECT INC.","What’s better than a Tangerine cultivar? One with a twist. Tingle your tastebuds with a seriously citrusy and fruity cultivar.",,,"Pre-Roll","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
380,"2023-12-30","Dried Flower","Spinach","GMO Cookies Pre-Roll",,,"https://ocs.ca/products/gmo-cookies-pre-roll-spinach-gmo-cookies",25,0.5,,,,21,29,0,1,"Indoor",,,,,,"GMO Cookies","Indica Dominant","Very Strong","Spinach","Peace Naturals Project Inc.","Don't let the name deceive you. GMO (Garlic, Mushroom, Onion) Cookies has an unmistakably sweet and savoury taste and is one of the most popular indica strains out there. You can't make a soup out of it, but it sure goes nicely in a bowl.",,"Caryophyllene, Humulene, Limonene, Myrcene, Nerolidol","Pre-Roll","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
381,"2023-12-30","Dried Flower","Spinach","Wedding Cake Pre-Roll",9.73,"g","https://ocs.ca/products/wedding-cake-pre-roll-spinach-wedding-cake-1",22.5,0.5,14.6,"In stock online",841432012403,19,26,0,1,"Indoor",,,,,,"Wedding Cake","Indica Dominant","Very Strong","Spinach","Peace Naturals Project Inc.","A truly sought-after delicacy, Wedding Cake is known for its dense buds and frosty trichomes and are a delight for the senses. This strain has intense sweet, fruity, earthy, and spicy flavours with just a hint of vanilla.",,"Beta-Caryophyllene, Limonene, Linalool, Myrcene, Nerolidol","Pre-Roll","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
382,"2023-12-30","Dried Flower","Spinach","Blue Dream Pre-Roll",8,"g","https://ocs.ca/products/blue-dream-pre-roll-spinach-blue-dream-1",19,0.5,8,,841432012373,16,22,0,1,"Indoor",,,,,,"Blue Dream","Sativa Dominant","Very Strong","Spinach","Peace Naturals Project Inc.","Spinach™ products are not your average greens!  Spinach has High Expectations™ for their Farm-to-Bowl™ products, and safety testing is one of the few things they take seriously. This sweet sativa is known for its herbal, pine and peppery aromas that come from the cultivars’ terpene profile rich in pinene, myrcene and caryophyllene. Available in multiple pre-rolls and dried flower formats that are perfect for sharing!",,"Alpha-Pinene, Beta-Caryophyllene, Limonene, Myrcene, Nerolidol","Pre-Roll","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
383,"2023-12-30","Dried Flower","SPINACH","Kiwi Lime Punch Pre-Roll",9.43,"g","https://ocs.ca/products/kiwi-lime-punch-pre-roll-spinach-zkittles-x-atom-splitter",25.5,0.5,14.15,"In stock online",841432012618,22,29,0,1,"Indoor",,"Stayner","Stayner",44.4194642,-80.0904451,"Zkittles x Atom Splitter","Indica Dominant","Very Strong","SPINACH","PEACE NATURALS PROJECT INC.","Kiwi Lime Punch combines the unique flavours and aromas of kiwi and lime. It has high terpene counts of limonene, caryophyllene and farnesene. With parent strains of Zktlz and Atom Splitter, this cultivar has a fruity flavour and aroma.",,"Caryophyllene, Farnasene, Limonene","Pre-Roll","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
385,"2023-12-30","Dried Flower","Station House","Pink Kush Pre-Roll",,,"https://ocs.ca/products/pink-kush-pre-roll-station-house",24.75,0.5,,,,21,28.5,0,1,"Indoor",,"SW ON - St Thomas, Chatham","Chatham",42.4057219,-82.1853837,,"Indica Dominant","Very Strong","Station House","Sensi Brands","Classic Station House pre-rolls made from whole flower Pink Kush. Pink Kush is an indica known for its bright bud with vibrant pink hairs and a frosting of trichomes. It has hints of sweet vanilla and a candy perfume – Pink Kush is a legendary strain. Precisely weighed and machine rolled for an ideal, even burn. Packed with a humidity device to extend freshness.",,"Beta-Caryophyllene, Beta-Pinene, Limonene, Linalool, Myrcene","Pre-Roll","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
388,"2023-12-30","Dried Flower","Steel City Green","Kings+ Extreme Pre-Roll",6.97,"g","https://ocs.ca/products/kings-extreme-pre-roll-steel-city-green",28,1,27.88,"In stock online",628176636245,25,31,0,2,"Indoor",,"Ancaster","Ancaster",43.225693,-79.976692,,"Hybrid","Very Strong","Steel City Green","AB LABORATORIES INC","Kings+ Extreme pre-rolls contain the best high-potency THC flower that we have to offer, always above 25% THC. They feature a pack of pre-rolls that contain a rotating supply of cultivars. Indulge in an opportunity to enjoy some of our potent strains in a convenient multipack. No guessing required – the cultivar will be listed on the label. Our innovative Kings+ straight cut pre-rolls feature an unbleached wood paper tube paired with a flow-through acetate filter, both crafted specifically for cannabis use. Strategically designed to burn smooth and never clog, our cannabis is harvested weekly from indoor climate-controlled cultivation rooms, allowing for consistent quality and freshness.",,"Alpha-Myrcene, Beta-Caryophyllene, Humulene, Limonene, Pinene","Pre-Roll","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
389,"2023-12-30","Dried Flower","Steel City Green","Kings+ Extreme Single Pre-Roll",9.85,"g","https://ocs.ca/products/kings-extreme-single-pre-roll-steel-city-green",28.75,1,9.85,"In stock online",628176636528,25,32.5,0,2,"Indoor",,"Ancaster","Ancaster",43.225693,-79.976692,,"Hybrid","Very Strong","Steel City Green","AB LABORATORIES INC","Kings+ Extreme Single pre-roll features a pre-roll containing rotating cultivars of our highest potency flower, always over 25% THC. Kings+ Extreme Single is the ideal balance between potency and convenience. No guessing required – the cultivar will be listed on the label. Our innovative tube style pre-rolls are inspired by a 84mm king size cigarette, and feature an unbleached wood paper tube paired with a flow-through acetate filter, both crafted specifically for cannabis use. Strategically designed to burn smooth and never clog, our cannabis is harvested weekly from indoor climate-controlled cultivation rooms, allowing for consistent quality and freshness.",,"Alpha-Myrcene, Beta-Caryophyllene, Humulene, Limonene, Pinene","Pre-Roll","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
391,"2023-12-30","Dried Flower","Strains Limited","Gas Pack Pre-Roll Combo",,,"https://ocs.ca/products/gas-pack-pre-roll-combo-pre-roll-strains-limited",26,0.05,,,,21,31,0,0.1,"Indoor",,"Mount Albert","Mount Albert",44.1368646,-79.3085305,,"Indica Dominant","Very Strong","Strains Limited","Strains Limited","For all the Gas lovers out there! Strains has created the infamous “Gas Pack” containing two of our gassiest cultivars in one package. The Gas Pack features Hectane and Holy Grail – a perfect pair of new school gas combined with old school gas. Bred by Grandiflora and DNA Genetics, both these strains were pheno hunted in house by Minda himself. Get ready to take off with Gas Pack!",,,"Pre-Roll","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
397,"2023-12-30","Dried Flower","Sweet Vengeance","Baker's Dozen Pre-Roll",6.69,"g","https://ocs.ca/products/dosidos-bakers-dozen-pre-roll-sweet-vengeance",30,0.5,39.14,"In stock online",627987732191,25,35,0,1,"Indoor",,"Farnham QC","Farnham",45.2831,-72.974968,,"Indica Dominant","Very Strong","Sweet Vengeance","10392804 Canada Inc. DBA Sweet Vengeance","Only the highest quality strains are selected for this product. Each pack consists of a single strain that has been selected for its high THC, white ash, taste, indica varietal (β–myrcene) and flower quality. The pre-rolls are packed in hard cases for protection and placed inside a pouch for freshness.",,"Alpha-Bisabolol, Farnasene, Limonene, Myrcene, Trans-Caryophyllene","Pre-Roll","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
402,"2023-12-30","Dried Flower","Terp Town Collective","Chunk Dawg Pre-Roll",14.05,"g","https://ocs.ca/products/chunk-dawg-pre-roll-terp-town-collective-chunk-dawg",30,1,14.05,"In stock online",684074000083,27,33,0,2,"Indoor",,"Brampton","Brampton",43.6858146,-79.7599337,"Chunk Dawg","Indica Dominant","Very Strong","Terp Town Collective","8586985 Canada Corp - Will Cannabis Group","Wildly complex and incredibly potent, Chunk Dawg is a monster indica blend of an East Coast Panama Chunk (East Coast Sour Diesel x [Panama Red x Deep Chunk]) paired with an I-95 (Triangle Kush x Legend OG/Stardawg IX strain). The aroma and flavour are matched perfectly, expect thick velvety clouds with an intense blend of rubber, diesel, icing, and pine. Always small batch, hang-dried and hand trimmed.",,"Beta-Caryophyllene, Delta-Limonene, Farnasene, Linalool, Myrcene","Pre-Roll","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
408,"2023-12-30","Dried Flower","The BC Bud Co","HHH Pre-Roll",,,"https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co",28.5,2.5,,,,24,33,0,5,"Indoor",,"Kamloops","Kamloops",50.6758269,-120.339415,,"Indica Dominant","Very Strong","The BC Bud Co","Apothecary Botanicals","Sister plant to Oreo Mint Kush. HHH presents large, beautifully frosted buds with incredibly strong odours of pine, lemon, menthol, and skunk. This indica is a smooth smoke thanks to it being hand trimmed, hang dried and cured for 11 days.",,"Alpha-Bisabolol, Alpha-Pinene, Beta-Caryophyllene, Delta-Limonene, Linalool","Pre-Roll","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
415,"2023-12-30","Dried Flower","THE LOUD PLUG","BANANA HAVANA BLUNT PRE-ROLL",16.37,"g","https://ocs.ca/products/banana-havana-blunt-pre-roll-the-loud-plug",30,0.5,24.56,"In stock online",836780000936,27,33,0,1,"Indoor",,"Ontario",,,,,"Hybrid","Very Strong","THE LOUD PLUG","Canadian Clinical Cannabinoids Inc.","Get ready for an aroma overload that'll blow your senses away. Our Banana Havana blunts are on another level, using chamomile tea leaf wraps infused with all-natural terpenes. When those wraps get cozy with our cultivar of choice, Peanut Butter Breath, it's a match made in flavour heaven. Peanut Butter Breath is an evenly-balanced hybrid strain delivering a taste that's smooth, sweet, nutty, and earthy. And the aroma? It follows the same profile, with a creamy twist that's kissed by rich cocoa nuttiness thanks to the blunt wrap. None of that shake or trim nonsense, we only use whole flower milled to perfection before it’s rolled up. Taste the difference. With love from Scarborough.",,,"Pre-Roll","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
417,"2023-12-30","Dried Flower","THE LOUD PLUG","VENOM OG PRE-ROLL",,,"https://ocs.ca/products/venom-og-pre-roll-the-loud-plug",30,0.5,,,,27,33,0,1,"Indoor",,"Ontario",,,,,"Indica Dominant","Very Strong","THE LOUD PLUG","Canadian Clinical Cannabinoids Inc.","Introducing Venom OG, an indica-dominant top-tier dank creation bred from the formidable Garlic Breath x Venom OG lineage. Brace yourself for a potent, pungent, and loud experience, as it boasts a burst of garlic aroma, skunky spice, and peppery notes that'll awaken your senses. With a subtle hint of zesty lemon, these dense, trichome-covered, light green buds are accentuated by vibrant orange pistils. Our meticulous hang-drying and slow-curing process ensure the best quality. Delivered to you with love from Scarborough.",,,"Pre-Roll","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
418,"2023-12-30","Dried Flower","The Loud Plug","Krypto Kush Pre-Roll",,,"https://ocs.ca/products/krypto-kush-pre-roll-the-loud-plug",31,0.5,,,,28,34,0,1,"Hybrid-Greenhouse",,"London","London",42.9832406,-81.243372,,"Indica Dominant","Very Strong","The Loud Plug","Canadian Clinical Cannabinoids Inc.","Check out Krypto Kush – a superstar born from Krypto Kush x First Class Funk lineage. It's all about them dense, moist buds, light and green, packing a scent that's straight-up intriguing, a bit peculiar, and undeniably unique. It's like a distant memory of soap mixed with sweet lime candy, but the real headliner is that pungent, skunky, and musty aroma. When you blaze it, get ready for an earthy and tropical taste that'll take you places. Delivered to you with love from Scarborough.",,"Alpha-Pinene, Myrcene","Pre-Roll","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
419,"2023-12-30","Dried Flower","The Loud Plug","Grape Ape Blunt",17.7,"g","https://ocs.ca/products/grape-ape-blunt-the-loud-plug-pink-cookies",30,0.5,17.7,"In stock online",836780009960,27,33,0,1,"Hybrid-Greenhouse",,"London","London",42.9832406,-81.243372,"Pink Cookies","Indica Dominant","Very Strong","The Loud Plug","Canadian Clinical Cannabinoids Inc.","Don’t sleep on our Grape Ape Blunt, the latest addition to our Blunt family. These blunts are made of chamomile tea leaf wraps that are infused with naturally-derived grape terpenes and packed with Ventura Dawg flower to bring you a flavour and aroma extravaganza. You're in for a gassy treat with a dash of tangy sweetness, a combo that's bursting with flavour. None of that shake or trim nonsense, we only use whole flower milled to perfection before it’s rolled up. Brought to you with love from Scarborough.",,"Alpha-Pinene, Myrcene","Pre-Roll","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
424,"2023-12-30","Dried Flower","Thrifty Stixx","Waffle Cone Indica Pre-Roll",7.95,"g","https://ocs.ca/products/waffle-cone-indica-pre-roll-thrifty-stixx",21,0.5,7.95,"In stock online",842360016181,18,24,0,1,"Indoor",,"Okanagan","Okanagan",49.91087735,-119.1392373287,,"Indica Dominant","Very Strong","Thrifty Stixx","Cannacure Corp","With Thrifty Stixx Waffle Cone Indica Pre-Rolls, you'll be pleasantly surprised by these perfectly rolled, fresh pre-rolls, bursting with flavours of berries and vanilla. It's that amazing, thrifty find you've been searching for.",,"Caryophyllene, Limonene, Linalool","Pre-Roll","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
425,"2023-12-30","Dried Flower","Thrifty Stixx","Hippie Chicken Sativa Pre-Roll",7.95,"g","https://ocs.ca/products/hippie-chicken-sativa-pre-roll-thrifty-stixx",24,3,7.95,"In stock online",842360016198,20,28,0,6,"Indoor",,"Okanagan","Penticton",49.5003268,-119.5932499,,"Sativa Dominant","Very Strong","Thrifty Stixx","Cannacure Corp","Hippie Chicken Sativa Pre-Rolls are the gem of a find you've been looking for with high THC and thrifty prices. Find piney, sweet and earthy flavours rolled to perfection in these sativa pre-rolls.",,"Caryophyllene, Limonene, Linalool, Myrcene, Pinene","Pre-Roll","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
426,"2023-12-30","Dried Flower","Thumbs Up","420 Pre-Roll",,,"https://ocs.ca/products/420-pre-roll-thumbs-up",25.5,0.5,,,,22,29,0,1,,,"Various",,,,,"Hybrid","Very Strong","Thumbs Up","WEED ME INC","It’s 4/20 everyday with the 420 pre-roll pack.",,"Terpenes May Vary","Pre-Roll","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
430,"2023-12-30","Dried Flower","Tribal","Cuban Linx Pre-Roll",9.47,"g","https://ocs.ca/products/cuban-linx-pre-roll-tribal",26.25,0.5,28.41,"In stock online",628124830084,23,29.5,0,1,"Indoor",,"Farnham & Valleyfield QC","Farnham",45.2831,-72.974968,,"Sativa Dominant","Very Strong","Tribal","Cannara Biotech (Quebec) Inc.","The diverse richness of exotic terpenes found in Cuban Linx give these buds an invigorating lemony aroma that is accentuated by hints of gassy diesel and a touch of spiciness. A truly refreshing strain, Cuban Linx was bred by crossing TK Skunk and Trigerian. The result is a huge bud with a shape that resembles corn on the cob. Tribal's Cuban Linx pre-rolls are produced with nothing but hang dried, slow cured, whole buds which have been consistently ground, and wrapped in premium RAW organic hemp cones. Enjoy pre-rolls packaged in eco-friendly tin tubes.",,"Caryophyllene, Ocimene, Terpinolene","Pre-Roll","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
431,"2023-12-30","Dried Flower","Tribal","Galactic Rntz Pre-Roll",9.47,"g","https://ocs.ca/products/galactic-rntz-pre-roll-tribal",25.25,0.5,28.41,"In stock online",628124830091,21.5,29,0,1,"Indoor",,"Farnham & Valleyfield QC","Farnham",45.2831,-72.974968,,"Indica Dominant","Very Strong","Tribal","Cannara Biotech (Quebec) Inc.","T-10! Start your rocket engines! Fresh off the exhale of Galactic Runtz the gasoline flavour and ""High-octane"" horsepower are noticeably intense from this powerful Indica dominant strain. Parent genetics are Falcon 9 (Sunset Sherbet x Tina) and Runtz (Zktlz x Gelato). Expect a strong fuel flavour with fruity undertones. Tribal’s Galactic Runtz Pre-rolls are produced with nothing but hang dried, slow cured, whole buds which have been consistently ground, and wrapped in premium RAW organic hemp cones. Enjoy five pre-rolls packaged in eco-friendly tin tubes.",,,"Pre-Roll","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
